N=100, K=47, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=48, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=49, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=50, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=51, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=52, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=53, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=54, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=55, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=56, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=57, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=58, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=59, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=60, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=61, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=62, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=63, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=64, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=65, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=66, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=67, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=68, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=69, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
N=100, K=70, t1=[[0.5 0. ],[0.  0.5]], t2=[[0.5 0. ],[0.  0.5]]
