N=1000, K=26, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=27, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=28, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=29, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=30, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=31, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=32, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=33, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=34, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=35, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=36, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=37, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=38, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=39, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=40, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=41, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=42, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=43, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=44, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=45, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=46, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=47, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=48, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=49, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=50, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=51, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=52, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=53, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=54, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=55, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=56, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=57, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=58, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=59, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=60, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=61, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=62, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=63, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=64, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=65, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=66, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=67, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=68, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=69, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=70, t=[[0.5 0. ],[0.  0.5]]
N=1000, K=71, t=[[0.5 0. ],[0.  0.5]]
